date,state,latitude,longitude,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,rainfall_intensity_3h_mm,rainfall_anomaly_pct,elevation_m,slope_deg,aspect_deg,curvature,soil_moisture,clay_pct,ndvi,geology_risk_index,displacement_mm,historical_landslide_count,distance_to_road_km,distance_to_settlement_km,infrastructure_exposure_index,landslide_occurrence,risk_score_demo,risk_class_demo
2018-01-01,Assam,27.175393012836572,95.1263763011514,68.85,177.12,263.33,17.27,111.68,633.21,4.44,42.67,0.1071,0.7029,21.48,0.8126,0.4449,7.24,3,0.03,6.068,60.39,0.0,41.8,Moderate
2018-01-01,Mizoram,22.875590817369492,92.61361311602553,34.8,83.1,223.63,11.28,71.46,1366.28,11.84,189.71,-0.1919,0.5149,9.14,0.5989,0.3387,20.13,2,9.157,7.662,14.5,1.0,18.9,Low
2018-01-02,Arunachal Pradesh,27.807750933606147,95.06554678329196,66.37,123.34,249.65,20.82,106.17,1475.14,9.39,241.48,-0.0144,0.6172,39.11,0.2865,0.6091,24.76,2,3.189,4.967,53.01,0.0,31.05,Low
2018-01-02,Assam,26.0493290447058,90.29057532047206,18.71,65.93,214.08,10.24,85.58,868.16,6.6,247.02,0.1343,0.4488,28.95,0.5653,0.6049,16.83,3,2.488,1.711,67.96,1.0,25.22,Low
2018-01-02,Assam,26.15816262847252,92.54398648172115,42.79,103.0,257.76,14.25,109.31,575.63,30.71,124.15,0.2505,0.6167,29.65,0.5491,0.6271,23.35,4,5.04,1.833,47.57,0.0,33.19,Low
2018-01-02,Meghalaya,25.26503806102563,92.47430837594487,57.08,122.5,234.54,27.69,71.35,513.86,42.78,42.25,-0.1366,0.75,14.43,0.05,0.5516,11.55,3,2.715,10.899,42.1,1.0,42.37,Moderate
2018-01-02,Meghalaya,25.624071224114893,91.61199598219406,29.59,58.43,177.62,8.81,31.42,321.26,26.61,31.39,-0.0641,0.4309,6.53,0.5689,0.7003,16.21,7,1.189,9.653,56.9,0.0,38.38,Moderate
2018-01-02,Nagaland,26.21345183518178,95.05811735104265,36.07,82.97,129.83,12.15,12.09,260.86,11.46,313.31,0.0891,0.4456,14.62,0.3208,0.3584,15.76,2,1.525,1.068,78.08,0.0,24.33,Low
2018-01-02,Tripura,23.216348049888115,91.75783316423609,28.45,68.7,144.51,15.52,17.32,1933.72,20.39,38.35,0.2271,0.5486,19.24,0.5077,0.4613,11.3,2,1.389,1.469,62.18,0.0,25.51,Low
2018-01-03,Arunachal Pradesh,27.234979576084427,95.72544842703329,0.54,0.54,0.54,0.19,-100.0,1140.63,17.35,16.49,0.2593,0.2205,30.98,0.7027,0.4593,7.19,2,5.969,4.756,33.77,0.0,16.01,Low
2018-01-03,Assam,26.61687890623959,92.04050538109773,0.0,0.0,99.11,0.0,-26.14,570.1,25.54,191.43,0.0013,0.1634,31.06,0.3186,0.4933,16.84,2,1.52,0.613,73.0,0.0,24.29,Low
2018-01-03,Manipur,25.325081914044283,94.1460000628255,42.38,117.48,325.92,17.9,141.02,1593.07,25.71,37.31,0.1936,0.6597,16.12,0.8793,0.6416,31.63,1,0.747,1.552,68.48,0.0,45.55,Moderate
2018-01-03,Mizoram,23.823183902249482,92.79803774701594,24.38,82.23,172.46,13.12,49.18,551.48,8.68,346.15,-0.2037,0.3942,37.44,0.1495,0.3584,15.67,0,2.236,2.201,61.04,0.0,20.38,Low
2018-01-03,Nagaland,26.172148654916292,94.1985413749517,67.12,176.89,481.56,29.97,320.17,878.55,13.06,160.35,0.3052,0.75,25.45,0.4387,0.3453,35.05,1,2.557,1.723,48.91,0.0,54.93,Moderate
2018-01-03,Sikkim,27.68214440271674,88.53202750042871,42.14,192.79,458.87,21.73,286.99,536.86,35.78,22.75,0.2583,0.75,31.25,0.6896,0.7509,31.08,6,2.703,9.371,46.71,0.0,70.37,High
2018-01-04,Arunachal Pradesh,27.45894638106568,95.96897349436506,36.82,100.06,295.11,8.04,161.41,1302.74,34.12,302.73,-0.1714,0.6887,34.88,0.5373,0.5479,26.9,5,1.783,0.837,76.35,1.0,46.72,Moderate
2018-01-04,Assam,27.301156281665456,94.49053885255408,13.78,61.47,126.21,6.73,-21.07,1009.51,33.57,166.3,0.3049,0.6058,31.7,0.7353,0.581,23.34,1,5.357,6.239,35.06,0.0,29.21,Low
2018-01-04,Assam,26.812968010940104,92.6473237416776,11.61,11.61,11.61,3.16,-90.09,1361.37,5.93,341.76,0.0702,0.2013,44.6,0.4936,0.3607,8.63,4,3.531,1.373,53.15,0.0,15.51,Low
2018-01-04,Assam,25.915310957043065,89.97190700274659,5.84,45.77,132.13,1.67,31.32,1664.15,9.25,13.52,-0.0613,0.4474,25.37,0.4539,0.3716,11.33,1,0.914,6.819,55.98,0.0,23.61,Low
2018-01-04,Assam,26.28997916558985,90.67085075576851,10.41,39.15,161.71,3.07,33.8,58.58,46.32,195.35,0.0652,0.5204,38.53,0.2173,0.7636,15.95,3,2.772,5.332,47.43,1.0,43.47,Moderate
2018-01-04,Manipur,24.2139080099153,93.83483407648306,25.22,59.31,59.31,7.22,-40.98,1791.81,23.76,105.11,0.1912,0.3428,21.88,0.6065,0.5268,0.41,3,0.566,6.152,68.0,1.0,38.59,Moderate
2018-01-04,Mizoram,22.512274386962105,92.67695016874217,14.19,57.29,173.38,3.51,43.42,866.9,21.02,273.83,0.0923,0.4973,47.34,0.4288,0.4419,19.98,2,2.114,4.861,51.63,0.0,29.38,Low
2018-01-04,Tripura,23.636573418458088,91.56347326266588,15.06,46.26,116.29,4.49,-1.98,1141.75,17.84,90.74,-0.3186,0.3762,17.17,0.92,0.4124,18.26,0,2.984,1.359,55.83,0.0,28.59,Low
2018-01-04,Tripura,24.221461585271513,92.07446923500045,24.13,75.07,229.1,6.97,71.14,725.59,20.92,191.8,-0.2766,0.5422,33.51,0.2254,0.476,20.35,0,5.644,4.731,35.45,0.0,29.15,Low
2018-01-05,Assam,24.913193880929388,92.70415693379788,0.86,27.6,65.45,0.18,-54.11,720.14,4.62,71.26,-0.0342,0.3603,29.12,0.5312,0.4898,2.12,1,1.368,0.446,82.19,0.0,23.63,Low
2018-01-05,Meghalaya,25.606588790341924,90.2302312300768,12.28,70.96,127.84,3.3,36.79,596.38,16.24,293.55,0.2803,0.4596,29.92,0.4827,0.3287,18.25,1,3.58,8.103,30.4,0.0,17.89,Low
2018-01-05,Mizoram,22.433423511217967,93.18651870533455,15.38,27.01,36.75,6.12,-76.55,672.76,13.81,189.66,0.1056,0.2484,32.06,0.6326,0.2075,0.0,1,1.76,4.766,62.02,0.0,16.57,Low
2018-01-05,Sikkim,27.915328237995816,88.66068551152857,20.91,58.8,128.89,9.18,29.92,223.54,11.86,327.52,0.1091,0.39,19.93,0.5767,0.3452,7.59,1,4.661,3.284,46.55,0.0,14.57,Low
2018-01-05,Sikkim,27.51493447666,88.56112994992593,16.26,49.72,81.42,3.65,-29.4,1900.34,24.66,69.89,0.1885,0.5909,30.88,0.7354,0.6922,13.46,3,1.659,3.285,67.9,0.0,39.31,Moderate
2018-01-06,Arunachal Pradesh,26.927786452159776,95.63869458121003,17.12,74.13,217.6,8.53,77.87,2030.46,26.5,104.63,0.2208,0.5333,30.87,0.6812,0.6753,18.73,2,0.996,7.781,59.86,0.0,33.77,Low
2018-01-06,Arunachal Pradesh,27.412823859721787,96.60169976008747,28.61,51.69,234.75,9.09,95.47,1676.85,11.66,46.02,-0.1965,0.3635,22.27,0.3571,0.3228,23.35,1,9.024,2.369,39.28,1.0,30.53,Low
2018-01-06,Assam,25.00397258393914,92.46026675397825,16.67,62.78,177.49,6.14,55.91,799.85,41.04,102.96,-0.0619,0.5286,23.56,0.6364,0.7504,18.41,6,4.695,0.398,54.73,0.0,55.12,High
2018-01-06,Mizoram,22.473657536577733,92.93394152296206,33.57,106.21,259.38,15.43,113.05,1313.43,42.57,207.86,-0.4225,0.75,11.8,0.3468,0.7792,17.99,8,4.968,3.067,35.38,0.0,58.56,High
2018-01-07,Arunachal Pradesh,27.43388187536779,96.38776342803415,36.05,115.69,326.44,12.9,183.59,1361.05,25.57,317.79,-0.0484,0.7031,35.51,0.7083,0.5325,27.46,3,0.084,10.031,56.92,1.0,67.14,High
2018-01-07,Nagaland,25.939688880620107,94.74687875025782,46.33,140.5,234.49,23.79,83.29,1144.2,17.16,31.82,0.1948,0.7372,26.27,0.4332,0.5771,31.7,3,2.101,5.698,51.29,1.0,65.07,High
2018-01-07,Nagaland,26.383264474319848,94.78944898640546,69.27,170.59,439.05,31.72,278.14,506.3,24.2,189.08,-0.0206,0.75,32.04,0.799,0.3649,28.62,2,2.731,4.097,39.33,1.0,59.87,High
2018-01-07,Sikkim,27.895576970505303,88.57559360908363,3.31,25.39,25.39,1.78,-99.52,326.61,6.7,292.83,0.3326,0.357,57.35,0.6347,0.6899,6.99,0,0.54,1.071,74.73,0.0,26.28,Low
2018-01-08,Arunachal Pradesh,27.908606257025557,96.14914096953825,84.4,283.35,527.93,43.59,347.71,1974.23,27.2,76.07,0.2711,0.75,50.06,0.4055,0.7576,48.09,3,2.336,1.855,59.36,1.0,81.62,Critical
2018-01-08,Assam,27.59527088138667,94.96240553608149,20.32,73.74,152.25,6.82,30.02,966.21,32.93,349.9,-0.2359,0.4704,27.33,0.5118,0.588,18.12,1,3.239,2.494,46.38,0.0,39.0,Moderate
2018-01-08,Meghalaya,25.578658383202818,91.09148481020947,36.65,57.12,167.65,8.59,15.03,1185.93,9.42,337.31,-0.1669,0.4101,21.98,0.7215,0.3282,11.54,2,9.554,4.132,27.87,0.0,15.29,Low
2018-01-08,Meghalaya,25.246781639086663,92.26064149262024,7.9,14.56,14.56,3.83,-83.4,1119.19,10.58,138.21,-0.1811,0.2962,6.85,0.7839,0.2873,0.93,1,6.258,4.826,39.79,0.0,16.14,Low
2018-01-08,Mizoram,23.970699591630588,92.6517299950328,30.39,80.53,268.42,7.81,118.06,616.51,14.37,8.66,0.3802,0.4643,39.29,0.5713,0.4032,14.86,3,0.623,7.898,68.71,0.0,25.07,Low
2018-01-08,Nagaland,25.852962653553014,94.37387933914464,5.02,28.96,62.34,1.05,-43.76,676.74,24.91,90.72,0.1487,0.4277,23.41,0.757,0.6709,7.46,3,7.209,2.322,40.05,0.0,21.75,Low
2018-01-08,Sikkim,27.64584349038219,88.20639522861597,10.96,10.96,71.77,3.3,-35.81,286.26,42.33,73.75,-0.0427,0.4934,21.28,0.2398,0.8683,17.41,4,5.976,1.057,38.53,0.0,29.08,Low
