date,state,latitude,longitude,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,rainfall_intensity_3h_mm,rainfall_anomaly_pct,elevation_m,slope_deg,aspect_deg,curvature,soil_moisture,clay_pct,ndvi,geology_risk_index,displacement_mm,historical_landslide_count,distance_to_road_km,distance_to_settlement_km,infrastructure_exposure_index,landslide_occurrence,risk_score_demo,risk_class_demo
2018-01-01,Assam,25.261902157347187,95.794206131882,68.85,177.12,263.33,17.27,111.68,633.21,4.44,42.67,0.1071,0.7029,21.48,0.8126,0.4449,7.24,3,0.03,6.068,60.39,0.0,41.8,Moderate
2018-01-01,Mizoram,23.360930031541592,92.57817188577594,34.8,83.1,223.63,11.28,71.46,1366.28,11.84,189.71,-0.1919,0.5149,9.14,0.5989,0.3387,20.13,2,9.157,7.662,14.5,1.0,18.9,Low
2018-01-02,Arunachal Pradesh,27.16450853626785,94.2198257636346,66.37,123.34,249.65,20.82,106.17,1475.14,9.39,241.48,-0.0144,0.6172,39.11,0.2865,0.6091,24.76,2,3.189,4.967,53.01,0.0,31.05,Low
2018-01-02,Assam,25.789685663462826,90.56579903165517,18.71,65.93,214.08,10.24,85.58,868.16,6.6,247.02,0.1343,0.4488,28.95,0.5653,0.6049,16.83,3,2.488,1.711,67.96,1.0,25.22,Low
2018-01-02,Assam,27.034525997630148,92.80103630403664,42.79,103.0,257.76,14.25,109.31,575.63,30.71,124.15,0.2505,0.6167,29.65,0.5491,0.6271,23.35,4,5.04,1.833,47.57,0.0,33.19,Low
2018-01-02,Meghalaya,25.073523749055873,90.07156327457704,57.08,122.5,234.54,27.69,71.35,513.86,42.78,42.25,-0.1366,0.75,14.43,0.05,0.5516,11.55,3,2.715,10.899,42.1,1.0,42.37,Moderate
2018-01-02,Meghalaya,25.05561327149124,90.32348886000312,29.59,58.43,177.62,8.81,31.42,321.26,26.61,31.39,-0.0641,0.4309,6.53,0.5689,0.7003,16.21,7,1.189,9.653,56.9,0.0,38.38,Moderate
2018-01-02,Nagaland,26.600497415723492,94.83783690948877,36.07,82.97,129.83,12.15,12.09,260.86,11.46,313.31,0.0891,0.4456,14.62,0.3208,0.3584,15.76,2,1.525,1.068,78.08,0.0,24.33,Low
2018-01-02,Tripura,24.45700943328235,91.88686715002966,28.45,68.7,144.51,15.52,17.32,1933.72,20.39,38.35,0.2271,0.5486,19.24,0.5077,0.4613,11.3,2,1.389,1.469,62.18,0.0,25.51,Low
2018-01-03,Arunachal Pradesh,28.788881496860345,92.82756337781548,0.54,0.54,0.54,0.19,-100.0,1140.63,17.35,16.49,0.2593,0.2205,30.98,0.7027,0.4593,7.19,2,5.969,4.756,33.77,0.0,16.01,Low
2018-01-03,Assam,24.857155799392196,91.25703736751778,0.0,0.0,99.11,0.0,-26.14,570.1,25.54,191.43,0.0013,0.1634,31.06,0.3186,0.4933,16.84,2,1.52,0.613,73.0,0.0,24.29,Low
2018-01-03,Manipur,25.646504707017897,94.60487293184691,42.38,117.48,325.92,17.9,141.02,1593.07,25.71,37.31,0.1936,0.6597,16.12,0.8793,0.6416,31.63,1,0.747,1.552,68.48,0.0,45.55,Moderate
2018-01-03,Mizoram,23.38179354813444,93.26074063925682,24.38,82.23,172.46,13.12,49.18,551.48,8.68,346.15,-0.2037,0.3942,37.44,0.1495,0.3584,15.67,0,2.236,2.201,61.04,0.0,20.38,Low
2018-01-03,Nagaland,26.177513218122776,93.6492859831386,67.12,176.89,481.56,29.97,320.17,878.55,13.06,160.35,0.3052,0.75,25.45,0.4387,0.3453,35.05,1,2.557,1.723,48.91,0.0,54.93,Moderate
2018-01-03,Sikkim,27.449332815144757,88.61497691251553,42.14,192.79,458.87,21.73,286.99,536.86,35.78,22.75,0.2583,0.75,31.25,0.6896,0.7509,31.08,6,2.703,9.371,46.71,0.0,70.37,High
2018-01-04,Arunachal Pradesh,27.088528066789372,94.19938378680149,36.82,100.06,295.11,8.04,161.41,1302.74,34.12,302.73,-0.1714,0.6887,34.88,0.5373,0.5479,26.9,5,1.783,0.837,76.35,1.0,46.72,Moderate
2018-01-04,Assam,24.701606747588368,92.40590146274256,13.78,61.47,126.21,6.73,-21.07,1009.51,33.57,166.3,0.3049,0.6058,31.7,0.7353,0.581,23.34,1,5.357,6.239,35.06,0.0,29.21,Low
2018-01-04,Assam,24.36710826137127,91.96069121496198,11.61,11.61,11.61,3.16,-90.09,1361.37,5.93,341.76,0.0702,0.2013,44.6,0.4936,0.3607,8.63,4,3.531,1.373,53.15,0.0,15.51,Low
2018-01-04,Assam,26.27555457489228,92.20547057880098,5.84,45.77,132.13,1.67,31.32,1664.15,9.25,13.52,-0.0613,0.4474,25.37,0.4539,0.3716,11.33,1,0.914,6.819,55.98,0.0,23.61,Low
2018-01-04,Assam,25.63181242779681,94.43100476899878,10.41,39.15,161.71,3.07,33.8,58.58,46.32,195.35,0.0652,0.5204,38.53,0.2173,0.7636,15.95,3,2.772,5.332,47.43,1.0,43.47,Moderate
2018-01-04,Manipur,25.245294445242628,94.11918928385421,25.22,59.31,59.31,7.22,-40.98,1791.81,23.76,105.11,0.1912,0.3428,21.88,0.6065,0.5268,0.41,3,0.566,6.152,68.0,1.0,38.59,Moderate
2018-01-04,Mizoram,24.40811654664272,93.2210742767274,14.19,57.29,173.38,3.51,43.42,866.9,21.02,273.83,0.0923,0.4973,47.34,0.4288,0.4419,19.98,2,2.114,4.861,51.63,0.0,29.38,Low
